ID|EN|ES|CA
Language|ENGLISH|ESPANOL|CATALA
DEFAULT_TEXT|Lorem Ipsum|Lorem Ipsum|Lorem Ipsum
EMPTY_TEXT|||
MAINMENU_BUTTON_START|Exit|Salida|Sortida
SETTINGS_LANGUAGE|LANGUAGE|IDIOMA|LLENGUA
SETTINGS_SOUND|SOUND|SONIDO|SO
SETTINGS_GENERAL|General|General|General
SETTINGS_MUSIC|Music|Musica|Musica
SETTINGS_SFX|SFX|SFX|SFX
MAINMENU_PLAY|PLAY|JUGAR|JUGAR
MAINMENU_SETTINGS|OPTIONS|AJUSTES|OPCIONS
SELECTMENU_MODE_RACE|RACE|CARRERA|CURSA
SELECTMENU_MODE_BOOM|BOOM|BOOM|BOOM
SELECTMENU_MODE_CLASSIC_DESC|First wins|Primero gana|Primer guanya
SELECTMENU_MODE_BOOM_DESC|Last explodes|El último explota|L'últim esclata
SELECTMENU_VEHICLE_CAR|CAR|COCHE|COTXE
SELECTMENU_VEHICLE_MOTO|MOTO|MOTO|MOTO
SELECTMENU_VEHICLE_TRUCK|TRUCK|CAMIÓN|CAMIÓ
SELECTMENU_VEHICLE_FINISH|FINISH|ACABAR|ACABAR
SELECTMENU_VEHICLE_FINISH_DESC|End vehicle selection|Finalizar selección del vehículo|Finalitzar selecció del vehicle
