ID|EN|ES|CA
Language|ENGLISH|ESPANOL|CATALA
DEFAULT_TEXT|Lorem Ipsum|Lorem Ipsum|Lorem Ipsum
EMPTY_TEXT|||
MAINMENU_BUTTON_START|Exit|Salida|Sortida
SETTINGS_LANGUAGE|LANGUAGE|IDIOMA|LLENGUA
SETTINGS_SOUND|SOUND|SONIDO|SO
SETTINGS_GENERAL|General|General|General
SETTINGS_MUSIC|Music|Musica|Musica
SETTINGS_SFX|SFX|SFX|SFX
MAINMENU_PLAY|PLAY|JUGAR|JUGAR
MAINMENU_SETTINGS|OPTIONS|AJUSTES|OPCIONS
SELECTMENU_MODE_RACE|RACE|CARRERA|CURSA
SELECTMENU_MODE_BOOM|BOOM|BOOM|BOOM
SELECTMENU_MODE_CLASSIC_DESC|First wins|Primero gana|Primer guanya
SELECTMENU_MODE_BOOM_DESC|Last explodes|Ultimo explota|L'ultim esclata
